country,clicks,impressions,ctr,position
gbr,42,2072,2.03,35.9
zaf,2,4,50.0,2
ita,1,4,25.0,29.8
phl,1,4,25.0,19.2
arg,0,1,0,5
bel,0,1,0,11
bgr,0,2,0,12.5
bra,0,5,0,24.2
can,0,1,0,1
che,0,2,0,42.5
deu,0,3,0,11.3
dza,0,1,0,32
esp,0,4,0,17.8
fra,0,1,0,19
grc,0,1,0,3
idn,0,4,0,21.8
ind,0,2,0,30.5
irl,0,3,0,114.3
isr,0,1,0,5
jam,0,1,0,3
jpn,0,1,0,47
kwt,0,1,0,57
mdv,0,1,0,22
mex,0,3,0,43.3
mys,0,1,0,1
nld,0,2,0,34
pak,0,6,0,12.3
pol,0,2,0,44.5
rou,0,2,0,47
rus,0,3,0,56.7
som,0,1,0,1
swe,0,1,0,28
twn,0,1,0,20
ukr,0,1,0,58
usa,0,48,0,9.4
vnm,0,3,0,12.7
